交易时间,                  公众账号ID,         商户号,子商户号,设备号,               微信订单号,                  商户订单号,                      用户标识,           交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2018-05-28 10:39:31,`wx25a4701f5a7b6229,`1503371211,`0,`请求设备编号,`4200000126201805287818722165,`20180528103922100011647396,`ou2_Etye1giP5d3uYRLelD362N4U,`NATIVE,`SUCCESS,`CMB_DEBIT,`CNY,`15.00,`0.00,`0,`0,`0.00,`0.00,`,`,`天津市第五中心医院:挂号,`天津市第五中心医院:挂号,`0.00000,`0.00%
`2018-05-28 10:54:02,`wx25a4701f5a7b6229,`1503371211,`0,`请求设备编号,`4200000126201805287818722165,`20180528103922100011647396,`ou2_Etye1giP5d3uYRLelD362N4U,`NATIVE,`REFUND,`CMB_DEBIT,`CNY,`0.00,`0.00,`50000506962018052804787069038,`_1gs000090,`15.00,`0.00,`ORIGINAL,`SUCCESS,`天津市第五中心医院:挂号,`天津市第五中心医院:挂号,`0.00000,`0.00%
`2018-05-28 10:37:22,`wx25a4701f5a7b6229,`1503371211,`0,`请求设备编号,`4200000133201805288875461671,`20180528103653100011881858,`ou2_Etye1giP5d3uYRLelD362N4U,`NATIVE,`SUCCESS,`CMB_DEBIT,`CNY,`15.00,`0.00,`0,`0,`0.00,`0.00,`,`,`天津市第五中心医院:挂号,`天津市第五中心医院:挂号,`0.00000,`0.00%
`2018-05-28 10:53:40,`wx25a4701f5a7b6229,`1503371211,`0,`请求设备编号,`4200000133201805288875461671,`20180528103653100011881858,`ou2_Etye1giP5d3uYRLelD362N4U,`NATIVE,`REFUND,`CMB_DEBIT,`CNY,`0.00,`0.00,`50000706952018052804786511003,`_1gs000089,`15.00,`0.00,`ORIGINAL,`SUCCESS,`天津市第五中心医院:挂号,`天津市第五中心医院:挂号,`0.00000,`0.00%
`2018-05-28 11:28:29,`wx25a4701f5a7b6229,`1503371211,`0,`请求设备编号,`4200000135201805281578145382,`20180528112519100011338039,`ou2_Etxnjwg6evZnxvTCDwqbgogs,`NATIVE,`REFUND,`CITIC_DEBIT,`CNY,`0.00,`0.00,`50000606822018052804771671881,`20180528112519100011338039,`42.50,`0.00,`ORIGINAL,`SUCCESS,`天津市第五中心医院:缴费,`天津市第五中心医院:缴费,`0.00000,`0.00%
`2018-05-28 11:25:42,`wx25a4701f5a7b6229,`1503371211,`0,`请求设备编号,`4200000135201805281578145382,`20180528112519100011338039,`ou2_Etxnjwg6evZnxvTCDwqbgogs,`NATIVE,`SUCCESS,`CITIC_DEBIT,`CNY,`42.50,`0.00,`0,`0,`0.00,`0.00,`,`,`天津市第五中心医院:缴费,`天津市第五中心医院:缴费,`0.00000,`0.00%
`2018-05-28 10:52:37,`wx25a4701f5a7b6229,`1503371211,`0,`请求设备编号,`4200000136201805287519078905,`20180528102843100011962466,`ou2_Etxnjwg6evZnxvTCDwqbgogs,`NATIVE,`REFUND,`CITIC_DEBIT,`CNY,`0.00,`0.00,`50000106902018052804809417460,`_1gs000088,`15.00,`0.00,`ORIGINAL,`SUCCESS,`天津市第五中心医院:缴费,`天津市第五中心医院:缴费,`0.00000,`0.00%
`2018-05-28 10:29:08,`wx25a4701f5a7b6229,`1503371211,`0,`请求设备编号,`4200000136201805287519078905,`20180528102843100011962466,`ou2_Etxnjwg6evZnxvTCDwqbgogs,`NATIVE,`SUCCESS,`CITIC_DEBIT,`CNY,`15.00,`0.00,`0,`0,`0.00,`0.00,`,`,`天津市第五中心医院:缴费,`天津市第五中心医院:缴费,`0.00000,`0.00%
总交易单数,总交易额,总退款金额,总企业红包退款金额,手续费总金额
`18,`236.15,`175.00,`0.00,`0.00000
